OrderID,CustomerID,OrderDate,Product,Category,Quantity,Amount,PaymentMode
O001,C101,2023-01-05,Laptop,Electronics,1,55000,Credit Card
O002,C102,2023-01-12,Mobile,Electronics,2,32000,UPI
O003,C103,2023-02-01,Headphones,Accessories,1,2500,Debit Card
O004,C104,2023-02-15,Keyboard,Accessories,1,1500,Credit Card
O005,C105,2023-03-03,Monitor,Electronics,1,12000,Net Banking
O006,C106,,Mouse,Accessories,2,1200,UPI
O007,C107,2023-03-20,Tablet,Electronics,1,18000,Debit Card
O008,C108,2023-04-02,Printer,Electronics,1,9500,Credit Card
O009,C109,2023-04-10,Chair,Furniture,1,7000,Net Banking
O010,C110,2023-04-18,Desk,Furniture,1,11000,UPI
O011,C111,2023-05-01,Laptop,Electronics,1,58000,Credit Card
O012,C112,2023-05-08,Mobile,Electronics,1,16000,Debit Card
O013,C113,2023-05-15,Smart Watch,Accessories,1,5000,UPI
O014,C114,2023-06-01,Headphones,Accessories,2,4800,Credit Card
O015,C115,2023-06-12,Monitor,Electronics,1,12500,Net Banking
O016,C116,2023-06-20,Keyboard,Accessories,1,1400,UPI
O017,C117,2023-07-05,Tablet,Electronics,1,19000,Debit Card
O018,C118,2023-07-18,Printer,Electronics,1,10200,Credit Card
O019,C119,2023-08-01,Chair,Furniture,2,14000,Net Banking
O020,C120,2023-08-10,Desk,Furniture,1,11500,UPI
O021,C121,2023-08-18,Laptop,Electronics,1,60000,Credit Card
O022,C122,2023-09-02,Mobile,Electronics,2,34000,UPI
O023,C123,2023-09-10,Smart Watch,Accessories,1,5200,Debit Card
O024,C124,2023-09-25,Mouse,Accessories,3,1800,Credit Card
O025,C125,2023-10-01,Monitor,Electronics,1,13000,Net Banking
O026,C126,2023-10-12,Keyboard,Accessories,1,,UPI
O027,C127,2023-10-20,Tablet,Electronics,1,19500,Debit Card
O028,C128,2023-11-05,Printer,Electronics,1,9800,Credit Card
O029,C129,2023-11-18,Chair,Furniture,1,7200,Net Banking
O030,C130,2023-11-28,Desk,Furniture,1,11800,UPI
O031,C131,2023-12-05,Laptop,Electronics,1,61000,Credit Card
O032,C132,2023-12-12,Mobile,Electronics,1,17000,Debit Card
